club,clubID
Barcelona,217.0
Real Madrid,220.0
Atlético Madrid,212.0
Getafe,216.0
Celta Vigo,209.0
Espanyol,214.0
Real Betis,218.0
Eibar,322.0
Villarreal,222.0
Levante UD,221.0
Athletic Club,215.0
Sporting Gijón,1041.0
Rayo Vallecano,360.0
Sevilla,213.0
Málaga,223.0
Real Sociedad,210.0
Las Palmas,208.0
Valencia,207.0
RC Deportivo La Coruña,219.0
Granada,1049.0
